trial,temperature,kinetic_energy,n_edges,degree_mean,clustering_mean,density
0,0.6116490395692162,89.02221835924323,106.0,2.12,0.27399999999999997,0.021414141414141413
1,5.580535793635352,771.9517309118282,123.0,2.46,0.4326190476190477,0.02484848484848485
2,4.892976969301982,733.6596227335517,141.0,2.82,0.2789285714285714,0.028484848484848484
3,3.364822784097947,491.85915991397763,108.0,2.16,0.34666666666666673,0.02181818181818182
4,2.38207463108115,324.49160272499375,122.0,2.44,0.38090476190476186,0.024646464646464646
5,6.433584994506286,1036.369259300785,129.0,2.58,0.4253333333333334,0.026060606060606062
6,2.4757029898928327,411.6758408901753,142.0,2.84,0.37030952380952387,0.028686868686868688
7,5.71928161918969,885.7413802428266,129.0,2.58,0.444,0.026060606060606062
8,4.415731109803563,608.0773582049572,142.0,2.84,0.4221428571428571,0.028686868686868688
9,0.4630367121449459,75.02832844252318,139.0,2.78,0.3530476190476191,0.02808080808080808
10,9.69824034332745,1574.527363995247,130.0,2.6,0.3685714285714286,0.026262626262626262
11,1.1266128301014549,156.78537755598194,141.0,2.82,0.3484047619047619,0.028484848484848484
12,1.8108079209332897,248.37214643527835,145.0,2.9,0.34823809523809524,0.029292929292929294
13,9.786703790231657,1511.043059676333,140.0,2.8,0.40826190476190477,0.028282828282828285
14,3.5037609035796526,534.5653928966593,130.0,2.6,0.34119047619047616,0.026262626262626262
15,7.8691917919731695,1345.853026948143,146.0,2.92,0.3509444444444444,0.029494949494949494
16,5.3294002615025144,846.0417479559169,116.0,2.32,0.33899999999999997,0.023434343434343436
17,6.5428097428307375,984.6942375627061,139.0,2.78,0.4011904761904762,0.02808080808080808
18,2.4743385001221547,345.59069169670767,145.0,2.9,0.2983571428571428,0.029292929292929294
19,9.368950210940966,1223.9856064415417,131.0,2.62,0.34852380952380957,0.026464646464646465
20,6.469796454269825,1006.377002682681,138.0,2.76,0.3863809523809524,0.027878787878787878
21,8.557556612400141,1226.8850455125098,144.0,2.88,0.4134285714285715,0.02909090909090909
22,3.2794687994113008,450.7876831268958,138.0,2.76,0.40830952380952373,0.027878787878787878
23,5.427919744196642,810.3374262328932,136.0,2.72,0.3518888888888889,0.027474747474747475
24,1.4204071033416676,206.49632302700306,123.0,2.46,0.4206190476190476,0.02484848484848485
25,9.937827714150659,1472.9070192216552,108.0,2.16,0.3356666666666667,0.02181818181818182
26,6.305534208198003,969.7159579879833,114.0,2.28,0.3717619047619048,0.02303030303030303
27,5.833669158602695,772.2452369848481,128.0,2.56,0.32471428571428573,0.02585858585858586
28,2.1283641487862153,333.61384435507654,112.0,2.24,0.314,0.022626262626262626
29,8.08461336018488,1237.3739418828668,131.0,2.62,0.3853809523809524,0.026464646464646465
30,8.347196436795933,1188.4809309161335,130.0,2.6,0.3973333333333333,0.026262626262626262
31,9.518904312188377,1426.2640700355662,121.0,2.42,0.33457142857142863,0.024444444444444446
32,8.320162909084214,1300.3344134669123,126.0,2.52,0.40333333333333327,0.025454545454545455
33,9.674489817600591,1794.2271156339577,153.0,3.06,0.44483333333333325,0.03090909090909091
34,3.822546433008912,565.2254343264208,122.0,2.44,0.452,0.024646464646464646
35,9.89104677950227,1403.5677215791984,107.0,2.14,0.3743333333333333,0.021616161616161617
36,7.931656617158649,1195.4651877500428,129.0,2.58,0.3716666666666666,0.026060606060606062
37,1.3602616872934483,213.60856768566418,121.0,2.42,0.2875714285714286,0.024444444444444446
38,5.151414371333951,763.5003257920027,142.0,2.84,0.4422380952380952,0.028686868686868688
39,1.1625192521732517,171.8686955057462,127.0,2.54,0.3483333333333333,0.025656565656565655
40,7.056035804482504,1046.1704530271654,139.0,2.78,0.3696666666666667,0.02808080808080808
41,6.274669109842252,987.5807560950623,139.0,2.78,0.3232857142857143,0.02808080808080808
42,4.238276911834826,664.2861986809527,135.0,2.7,0.3369285714285714,0.02727272727272727
43,4.153030654522965,624.6146136812057,144.0,2.88,0.3985,0.02909090909090909
44,4.983363514885186,710.8835152599618,144.0,2.88,0.3883095238095238,0.02909090909090909
45,9.127482138031901,1255.7404989902811,130.0,2.6,0.3124761904761904,0.026262626262626262
