interconnect_id,gear_ratio,output_frequency
0,4948.597581390526,4948597581390526.0
1,2262.0037417447174,2262003741744717.5
2,5587.37020470403,5587370204704030.0
3,9290.939322462356,9290939322462356.0
4,1856.2970715455654,1856297071545565.2
5,1856.3665351480172,1856366535148017.2
6,9528.649422411774,9528649422411774.0
7,6094.016339045957,6094016339045957.0
8,860.6538731092176,860653873109217.5
9,5142.571544412216,5142571544412216.0
10,886.2797417104721,886279741710472.1
11,876.4974126442432,876497412644243.2
12,3870.7423709958903,3870742370995890.5
13,-5248.0887151471425,5248088715147142.0
14,-4451.127349362641,4451127349362641.5
15,467.9614637814443,467961463781444.3
16,-1438.2884701349467,1438288470134946.8
17,4176.580464210604,4176580464210604.0
18,-994.8498635302435,994849863530243.5
19,-3128.4569603496184,3128456960349618.5
20,9048.159941307094,9048159941307094.0
21,1891.7404726414675,1891740472641467.5
22,3132.711834034606,3132711834034606.0
23,-3181.1095758691354,3181109575869135.5
24,543.716692533952,543716692533952.0
25,3316.3134770624433,3316313477062443.5
26,-2022.8538260737632,2022853826073763.2
27,4436.578315620538,4436578315620538.0
28,305.697702953536,305697702953536.0
29,1612.843744624646,1612843744624646.0
30,301.1793236574217,301179323657421.75
31,10683.988998657314,1.0683988998657314e+16
32,2789.893242133802,2789893242133802.0
33,-1628.1749404124148,1628174940412414.8
34,6327.187523108592,6327187523108592.0
35,-2318.389483027395,2318389483027395.0
36,3730.70187046512,3730701870465120.0
37,-5444.36429413533,5444364294135330.0
38,-2772.5551728892597,2772555172889259.5
39,3679.9198889622617,3679919888962261.5
40,5971.452099960581,5971452099960581.0
41,3572.059197714765,3572059197714765.0
42,2357.6921172153543,2357692117215354.5
43,1573.0302639617191,1573030263961719.2
44,-3408.6265412445855,3408626541244585.5
45,-198.6608457180123,198660845718012.28
46,898.0373600691391,898037360069139.1
47,7319.684139132232,7319684139132232.0
48,4300.84898316416,4300848983164160.0
49,-4612.422897339728,4612422897339728.0
